Submitted identifier,Found identifier
Q9UIG8,Q9UIG8-1
Q06033,Q06033
Q8NER1,Q8NER1
P17612,P17612
P18825,P18825
P25116,P25116
Q8TD43,Q8TD43
P22460,P22460
P15924,P15924
Q8N907,Q8N907
Q04760,Q04760
P18089,P18089
P35658,P35658
Q9ULF5,Q9ULF5
P12532,P12532
Q02218,Q02218
Q9NY46,Q9NY46
Q9NY47,Q9NY47
P46663,P46663
P23786,P23786
P01876,P01876
Q9BRI3,Q9BRI3
Q9HC97,Q9HC97
P01871,P01871
P25963,P25963
P22455,P22455
P03951,P03951
P35527,P35527
P03952,P03952
Q14697,Q14697
P55157,P55157
P13637,P13637
Q8TF71,Q8TF71
Q16515,Q16515
Q8N8N7,Q8N8N7
Q9Y4L1,Q9Y4L1
Q9H2X9,Q9H2X9
Q96F46,Q96F46
P68104,P68104
P08172,P08172
P08173,P08173
Q9BSJ2,Q9BSJ2
Q13370,Q13370
P00533,P00533
Q9NPD5,Q9NPD5
P47989,P47989
Q13131,Q13131
P00450,P00450
P80365,P80365
P10696,P10696
Q9Y2I6,Q9Y2I6
Q7RTT9,Q7RTT9
Q8TDS4,Q8TDS4
Q9Y2I1,Q9Y2I1
Q03405,Q03405
P09110,P09110
P02747,P02747
P31040,P31040
P02746,P02746
P00326,P00326
P22310,P22310
P22792,P22792
P02743,P02743
P21589,P21589
Q9BQE4,Q9BQE4
Q14353,Q14353
P00441,P00441
Q9HB55,Q9HB55
P35869,P35869
O75116,O75116
Q9BY41,Q9BY41
Q9BY41,Q9BY41-1
P51812,P51812
Q9H015,Q9H015
Q05940,Q05940
Q86YT6,Q86YT6
Q8TD19,Q8TD19
P35503,P35503
Q96HW7,Q96HW7
P11310,P11310
Q04724,Q04724
Q9H252,Q9H252
P00439,P00439
P31151,P31151
P49908,P49908
P09488,P09488
P25713,P25713
Q16665,Q16665
P23415,P23415
P00797,P00797
Q9HAS3,Q9HAS3
P45381,P45381
P78348,P78348
O75469,O75469-1
O75469,O75469-6
O75469,O75469-7
O75469,O75469-2
O75469,O75469-3
O75469,O75469-4
O75469,O75469-5
P40926,P40926
O75347,O75347
P19099,P19099
P36544,P36544
P10275,P10275
P11245,P11245
Q9Y6K1,Q9Y6K1
P09172,P09172
Q99720,Q99720
P35462,P35462
P02649,P02649
P02647,P02647
P02768,P02768
P02766,P02766
P02765,P02765
Q16790,Q16790
Q99726,Q99726
P02763,P02763
Q86U10,Q86U10
P12109,P12109
Q86YZ3,Q86YZ3
Q16678,Q16678
P12104,P12104
Q9Y6L6,Q9Y6L6
P13674,P13674
P11021,P11021
Q02641,Q02641
P01308,P01308
Q99959,Q99959
O94956,O94956
O94956,O94956-3
Q04828,Q04828
P02751,P02751
Q99835,Q99835
P02671,P02671
Q8TCU5,Q8TCU5
P02790,P02790
P12318,P12318
P11229,P11229
P14859,P14859
P35555,P35555
Q9Y6M5,Q9Y6M5
P14735,P14735
P13647,P13647
P13645,P13645
P35558,P35558
P10253,P10253
P35557,P35557
P35556,P35556
Q01668,Q01668
P08185,P08185
P33260,P33260
P08183,P08183
P33261,P33261
Q9NY26,Q9NY26
P07099,P07099
Q99829,Q99829
P54284,P54284
P08069,P08069
P02787,P02787
Q9NPA2,Q9NPA2
Q9NQC3,Q9NQC3
P24530,P24530
P09038,P09038
P98066,P98066
P55017,P55017
P0DP23,P0DP23
P55011,P55011
O75795,O75795
P14867,P14867
P39900,P39900
Q8TCT9,Q8TCT9
P11362,P11362-19
P11362,P11362-1
P11362,P11362
P23219,P23219
Q9NZV8,Q9NZV8
P02538,P02538
P55263,P55263
P21397,P21397
P27815,P27815
P43166,P43166
P02776,P02776
P02533,P02533
P0DMM9,P0DMM9
P02652,P02652
Q9HAW8,Q9HAW8
P34969,P34969
P34969,P34969-2
P98155,P98155
P10635,P10635
O15244,O15244
P29372,P29372
P10632,P10632
P54219,P54219
P31213,P31213
P0C0L5,P0C0L5
Q9Y3A6,Q9Y3A6
P16066,P16066
Q07869,Q07869
P04083,P04083
Q9HCR9,Q9HCR9
P08684,P08684
P80748,P80748
P05177,P05177
Q9NSA0,Q9NSA0
P22732,P22732
P07355,P07355
P07237,P07237
P07358,P07358
P07357,P07357
Q12791,Q12791
Q15822,Q15822
P98164,P98164
P07359,P07359
P56524,P56524
Q14973,Q14973
P32418,P32418
Q9H7Z7,Q9H7Z7
P12821,P12821
P19224,P19224
P22748,P22748
Q96FL8,Q96FL8
P00813,P00813
P46939,P46939
P42330,P42330
Q96BD0,Q96BD0
Q86YN6,Q86YN6
P05181,P05181
P07360,P07360
O15245,O15245
P05186,P05186
P06276,P06276
P06396,P06396
P05067,P05067
P42574,P42574
Q92569,Q92569
Q14500,Q14500
P08779,P08779
P29474,P29474
Q9P0X4,Q9P0X4
Q14624,Q14624
P11940,P11940
O75762,O75762
Q5VT66,Q5VT66
P19793,P19793
Q2M3G0,Q2M3G0
P30101,P30101
Q8TAD4,Q8TAD4
P68871,P68871
P40261,P40261
P07451,P07451
P78330,P78330
P09871,P09871
P05154,P05154
P41238,P41238
P05156,P05156
P09874,P09874
Q5JRX3,Q5JRX3
Q13423,Q13423
Q15842,Q15842
O75636,O75636
Q14994,Q14994-1
Q14994,Q14994-2
O15392,O15392
P35908,P35908
P53396,P53396
P29122,P29122
P11712,P11712
Q8IZ52,Q8IZ52
Q13547,Q13547
P29120,P29120
Q13546,Q13546
O75751,O75751
P19320,P19320
Q01064,Q01064
P20309,P20309
P04070,P04070
P05160,P05160
P04075,P04075
P04196,P04196
P06133,P06133
P05164,P05164
P07101,P07101
P81605,P81605
P07225,P07225
Q6XR72,Q6XR72
Q14524,Q14524
P35858,P35858
Q13433,Q13433
Q15858,Q15858
P13945,P13945
P50052,P50052
O15440,O15440
P35610,P35610
P11766,P11766
O95750,O95750
Q9H244,Q9H244
P00749,P00749
P05091,P05091
Q9UQD0,Q9UQD0
P00747,P00747
P05093,P05093
O60488,O60488
P00748,P00748
P20594,P20594
P09210,P09210
P09211,P09211
P00742,P00742
P69905,P69905
O15438,O15438
O15439,O15439
P43116,P43116
P47712,P47712
Q96PD7,Q96PD7
Q14654,Q14654
Q9NP72,Q9NP72
Q96PD5,Q96PD5
P14923,P14923
P34995,P34995
P46736,P46736
Q9BQB6,Q9BQB6
P00738,P00738
P00739,P00739
Q86VL8,Q86VL8
P00736,P00736
P63252,P63252
P00734,P00734
Q7Z2W7,Q7Z2W7
P22309,P22309
P21695,P21695
P43220,P43220
P08253,P08253
P22303,P22303
Q6P5W5,Q6P5W5
Q6ZMH5,Q6ZMH5
Q96IV0,Q96IV0
Q13698,Q13698
P51168,P51168
P11509,P11509
P13804,P13804
Q8IWU4,Q8IWU4
P10415,P10415
P29274,P29274
P29275,P29275
Q14789,Q14789
P01619,P01619
P06280,P06280
P51170,P51170
Q14432,Q14432
Q13464,Q13464
P46721,P46721
P08588,P08588
P33527,P33527
O15350,O15350
Q13224,Q13224
Q16853,Q16853
P51172,P51172
Q9NP94,Q9NP94
P14902,P14902
Q06830,Q06830
P11511,P11511
Q96J66,Q96J66
P33402,P33402
P43681,P43681
P23975,P23975
P08473,P08473
P00750,P00750
Q9HD40,Q9HD40
P00751,P00751
P08235,P08235-2
P08235,P08235-3
P08235,P08235-1
P08235,P08235-4
P08235,P08235
Q6ZQN7,Q6ZQN7
